model,accuracy,precision,recall,f1_score
BiLSTM,0.9173740803621958,0.9381688466111772,0.8935447338618346,0.9153132250580046
GRU,0.8075834748160724,0.821301775147929,0.7859569648924122,0.8032407407407407
CNN-RNN,0.9858517260894171,0.9787946428571429,0.9932049830124575,0.985947161326588
